val1,val2
90,35
35,91
85,42
23,79
64,4
20,31
21,33
43,86
37,96
89,3
32,22
66,1
2,87
2,16
0,95
90,46
90,43
56,66
70,45
53,77
38,51
89,96
30,39
20,68
20,96
46,51
20,4
9,82
7,59
66,54
17,79
65,57
69,41
7,40
45,30
18,47
73,2
29,74
69,0
91,46
52,69
91,43
56,85
49,99
49,24
42,16
14,81
21,26
15,17
33,12
59,24
10,44
32,26
89,89
52,70
28,32
46,92
9,46
98,74
71,16
80,52
89,87
82,39
81,96
8,28
7,80
53,60
64,85
89,88
23,21
88,91
18,75
83,92
67,9
7,10
57,47
81,35
94,68
89,31
95,21
72,73
80,72
55,28
55,7
78,18
87,77
74,89
70,52
83,49
89,20
78,39
65,10
14,62
36,41
16,68
97,34
46,23
2,10
17,98
23,16
