val1,val2
35,20
91,3
42,27
79,49
4,16
31,23
33,90
86,31
96,36
3,1
22,11
1,22
87,23
16,51
95,26
46,27
43,11
66,19
45,26
77,42
51,39
96,62
39,44
68,56
96,25
51,30
4,10
82,2
59,29
54,31
79,2
57,26
41,10
40,50
30,16
47,83
2,21
74,61
0,80
46,20
69,98
43,2
75,24
99,16
24,55
16,61
71,41
26,26
17,36
12,3
24,22
44,20
26,67
89,26
70,51
32,44
2,46
46,52
74,17
16,22
52,32
87,49
39,37
96,7
28,38
80,9
60,28
85,54
88,19
11,64
1,54
75,69
92,24
9,26
10,36
47,39
35,33
68,43
31,78
21,43
73,16
72,12
28,84
7,60
18,18
77,39
89,4
52,18
49,75
20,18
39,2
10,5
62,11
41,43
68,52
34,44
23,36
10,14
98,33
16,4
