val1,val2
12,42
54,82
60,75
97,22
53,34
76,48
62,60
19,72
67,9
33,95
23,96
12,46
2,59
82,51
40,47
78,4
75,59
37,36
30,34
57,98
89,81
60,8
75,95
18,60
7,46
33,19
15,13
21,35
56,14
28,6
58,24
99,31
23,9
76,31
63,12
88,48
61,75
84,25
95,85
91,62
48,21
73,77
32,68
63,19
89,66
21,70
89,73
14,49
89,27
69,35
71,33
22,42
73,33
1,93
77,39
68,64
22,1
42,58
11,17
11,59
80,71
20,1
1,23
89,80
35,26
88,37
20,34
71,3
0,77
32,20
28,0
57,62
98,29
43,47
74,48
91,89
59,49
86,17
25,86
46,47
13,49
57,63
98,31
53,35
39,56
82,83
16,71
70,72
91,11
6,26
56,2
61,16
19,0
87,50
78,8
89,79
73,1
55,1
91,42
16,28
